Family,Father,Mother,Gender,Height,Kids
46,1.8034,1.6256,F,1.651,8
47,1.82118,1.6383,M,1.8288,4
47,1.82118,1.6383,M,1.8034,4
47,1.82118,1.6383,M,1.7907,4
47,1.82118,1.6383,F,1.7018,4
48,1.8034,1.6256,M,1.7272,3
48,1.8034,1.6256,M,1.7272,3
48,1.8034,1.6256,M,1.7272,3
49,1.8161,1.6383,M,1.8288,7
49,1.8161,1.6383,M,1.8034,7
49,1.8161,1.6383,M,1.778,7
49,1.8161,1.6383,F,1.6764,7
49,1.8161,1.6383,F,1.6383,7
49,1.8161,1.6383,F,1.6383,7
49,1.8161,1.6383,F,1.5748,7
51,1.80848,1.6002,F,1.7145,2
51,1.80848,1.6002,F,1.6383,2
52,1.8034,1.6129,M,1.8034,5
52,1.8034,1.6129,M,1.7018,5
52,1.8034,1.6129,F,1.6764,5
52,1.8034,1.6129,F,1.651,5
52,1.8034,1.6129,F,1.6129,5
53,1.8034,1.6002,M,1.8034,9
53,1.8034,1.6002,M,1.778,9
53,1.8034,1.6002,M,1.778,9
53,1.8034,1.6002,M,1.6256,9
53,1.8034,1.6002,F,1.651,9
53,1.8034,1.6002,F,1.651,9
53,1.8034,1.6002,F,1.6256,9
53,1.8034,1.6002,F,1.6002,9
53,1.8034,1.6002,F,1.6002,9
54,1.8034,1.6002,M,1.8034,4
54,1.8034,1.6002,M,1.8034,4
54,1.8034,1.6002,M,1.778,4
54,1.8034,1.6002,F,1.6129,4
55,1.8034,1.5748,M,1.8034,5
55,1.8034,1.5748,M,1.778,5
55,1.8034,1.5748,F,1.6383,5
55,1.8034,1.5748,F,1.5875,5
55,1.8034,1.5748,F,1.5621,5
56,1.8034,1.5748,M,1.8288,5
56,1.8034,1.5748,M,1.7907,5
56,1.8034,1.5748,M,1.7907,5
56,1.8034,1.5748,F,1.6383,5
56,1.8034,1.5748,F,1.524,5
57,1.8034,1.5875,M,1.778,5
57,1.8034,1.5875,F,1.6256,5
57,1.8034,1.5875,F,1.6256,5
57,1.8034,1.5875,F,1.6256,5
57,1.8034,1.5875,F,1.5875,5
58,1.8034,1.5748,M,1.7907,7
58,1.8034,1.5748,M,1.778,7
58,1.8034,1.5748,M,1.7526,7
58,1.8034,1.5748,M,1.7526,7
58,1.8034,1.5748,M,1.6764,7
58,1.8034,1.5748,F,1.6383,7
58,1.8034,1.5748,F,1.6256,7
59,1.8034,1.5494,F,1.5748,1
60,1.8034,1.4732,M,1.8161,2
60,1.8034,1.4732,M,1.7526,2
61,1.778,1.7526,M,1.8034,4
61,1.778,1.7526,M,1.778,4
61,1.778,1.7526,M,1.7526,4
61,1.778,1.7526,F,1.7526,4
62,1.778,1.7526,M,1.778,6
62,1.778,1.7526,M,1.74498,6
62,1.778,1.7526,F,1.7272,6
62,1.778,1.7526,F,1.6764,6
62,1.778,1.7526,F,1.6256,6
62,1.778,1.7526,F,1.5748,6
63,1.778,1.7272,M,1.905,1
64,1.778,1.7018,M,1.778,5
64,1.778,1.7018,M,1.7526,5
64,1.778,1.7018,F,1.6764,5
64,1.778,1.7018,F,1.6256,5
64,1.778,1.7018,F,1.524,5
65,1.778,1.7018,F,1.7145,1
66,1.778,1.6891,M,1.8542,11
66,1.778,1.6891,M,1.8288,11
66,1.778,1.6891,M,1.8288,11
66,1.778,1.6891,M,1.6891,11
66,1.778,1.6891,F,1.75768,11
66,1.778,1.6891,F,1.70688,11
66,1.778,1.6891,F,1.6891,11
66,1.778,1.6891,F,1.6764,11
66,1.778,1.6891,F,1.6764,11
66,1.778,1.6891,F,1.63068,11
66,1.778,1.6891,F,1.61798,11
67,1.7907,1.651,M,1.8288,4
67,1.7907,1.651,M,1.78308,4
67,1.7907,1.651,M,1.7526,4
67,1.7907,1.651,M,1.7399,4
68,1.7907,1.651,F,1.7272,5
68,1.7907,1.651,F,1.651,5
68,1.7907,1.651,F,1.5621,5
68,1.7907,1.651,F,1.5494,5
68,1.7907,1.651,F,1.5494,5
69,1.778,1.651,M,1.8542,8
69,1.778,1.651,M,1.8288,8
69,1.778,1.651,M,1.7907,8
69,1.778,1.651,M,1.651,8
69,1.778,1.651,M,1.651,8
69,1.778,1.651,F,1.6383,8
69,1.778,1.651,F,1.6002,8
69,1.778,1.651,F,1.5748,8
70,1.778,1.651,M,1.7018,5
70,1.778,1.651,M,1.651,5
70,1.778,1.651,F,1.6383,5
70,1.778,1.651,F,1.5875,5
70,1.778,1.651,F,1.5875,5
71,1.778,1.651,M,1.778,6
71,1.778,1.651,M,1.778,6
71,1.778,1.651,F,1.7018,6
71,1.778,1.651,F,1.651,6
71,1.778,1.651,F,1.651,6
71,1.778,1.651,F,1.6002,6
72,1.778,1.651,M,2.0066,7
72,1.778,1.651,M,1.905,7
72,1.778,1.651,M,1.8034,7
72,1.778,1.651,F,1.7526,7
72,1.778,1.651,F,1.7018,7
72,1.778,1.651,F,1.66878,7
72,1.778,1.651,F,1.5748,7
73,1.778,1.651,M,1.8542,3
73,1.778,1.651,M,1.8415,3
73,1.778,1.651,F,1.651,3
74,1.778,1.651,M,1.7526,2
74,1.778,1.651,M,1.7526,2
75,1.778,1.64338,M,1.8288,7
75,1.778,1.64338,M,1.778,7
75,1.778,1.64338,M,1.74498,7
75,1.778,1.64338,F,1.6891,7
75,1.778,1.64338,F,1.6637,7
75,1.778,1.64338,F,1.64338,7
75,1.778,1.64338,F,1.6383,7
76,1.778,1.6256,M,1.79578,7
76,1.778,1.6256,M,1.778,7
76,1.778,1.6256,M,1.7272,7
76,1.778,1.6256,M,1.7018,7
76,1.778,1.6256,M,1.6764,7
76,1.778,1.6256,M,1.651,7
76,1.778,1.6256,F,1.7018,7
77,1.778,1.6256,M,1.778,4
77,1.778,1.6256,M,1.7272,4
77,1.778,1.6256,M,1.69418,4
77,1.778,1.6256,F,1.6637,4
78,1.778,1.63068,M,1.8288,5
78,1.778,1.63068,M,1.778,5
78,1.778,1.63068,F,1.5875,5
78,1.778,1.63068,F,1.55448,5
78,1.778,1.63068,F,1.52654,5
79,1.7907,1.6256,M,1.8796,8
79,1.7907,1.6256,M,1.7653,8
79,1.7907,1.6256,M,1.7526,8
79,1.7907,1.6256,M,1.7272,8
79,1.7907,1.6256,M,1.7272,8
79,1.7907,1.6256,M,1.7272,8
79,1.7907,1.6256,F,1.6637,8
79,1.7907,1.6256,F,1.651,8
80,1.7907,1.6383,F,1.524,1
81,1.778,1.6256,M,1.7272,4
81,1.778,1.6256,F,1.651,4
81,1.778,1.6256,F,1.6256,4
81,1.778,1.6256,F,1.5748,4
82,1.778,1.6256,M,1.8034,9
82,1.778,1.6256,M,1.778,9
82,1.778,1.6256,M,1.778,9
82,1.778,1.6256,M,1.778,9
82,1.778,1.6256,M,1.7653,9
82,1.778,1.6256,M,1.7399,9
82,1.778,1.6256,F,1.7526,9
82,1.778,1.6256,F,1.651,9
82,1.778,1.6256,F,1.6256,9
83,1.778,1.61798,M,1.778,8
83,1.778,1.61798,M,1.7018,8
83,1.778,1.61798,M,1.6637,8
83,1.778,1.61798,F,1.61798,8
83,1.778,1.61798,F,1.60528,8
83,1.778,1.61798,F,1.5875,8
83,1.778,1.61798,F,1.57988,8
83,1.778,1.61798,F,1.5494,8
85,1.7907,1.6002,M,1.8415,5
85,1.7907,1.6002,M,1.7526,5
85,1.7907,1.6002,M,1.7018,5
85,1.7907,1.6002,F,1.6383,5
85,1.7907,1.6002,F,1.6256,5
86,1.778,1.6129,M,1.8034,4
86,1.778,1.6129,M,1.7145,4
86,1.778,1.6129,F,1.7145,4
86,1.778,1.6129,F,1.6129,4
87,1.778,1.6002,M,1.7272,4
87,1.778,1.6002,M,1.7018,4
87,1.778,1.6002,F,1.61798,4
87,1.778,1.6002,F,1.5748,4
88,1.778,1.6002,M,1.778,4
88,1.778,1.6002,M,1.6891,4
88,1.778,1.6002,F,1.5748,4
88,1.778,1.6002,F,1.5494,4
89,1.7907,1.5748,M,1.8288,8
89,1.7907,1.5748,M,1.778,8
89,1.7907,1.5748,M,1.7653,8
89,1.7907,1.5748,M,1.7653,8
89,1.7907,1.5748,M,1.7272,8
89,1.7907,1.5748,F,1.651,8
89,1.7907,1.5748,F,1.6256,8
89,1.7907,1.5748,F,1.6002,8
90,1.78562,1.59258,M,1.79578,7
90,1.78562,1.59258,M,1.77038,7
90,1.78562,1.59258,M,1.75768,7
90,1.78562,1.59258,M,1.65608,7
90,1.78562,1.59258,F,1.6256,7
90,1.78562,1.59258,F,1.6129,7
90,1.78562,1.59258,F,1.60528,7
91,1.7907,1.5748,M,1.8288,3
91,1.7907,1.5748,M,1.8288,3
91,1.7907,1.5748,F,1.524,3
92,1.778,1.5494,M,1.80848,2
92,1.778,1.5494,M,1.7018,2
93,1.778,1.524,M,1.7018,4
93,1.778,1.524,M,1.6383,4
93,1.778,1.524,F,1.651,4
93,1.778,1.524,F,1.6002,4
94,1.778,1.524,F,1.651,2
94,1.778,1.524,F,1.651,2
95,1.778,1.4859,M,1.8161,3
95,1.778,1.4859,M,1.6383,3
95,1.778,1.4859,F,1.6002,3
96,1.778,1.4732,M,1.8288,5
96,1.778,1.4732,M,1.6764,5
96,1.778,1.4732,F,1.6764,5
96,1.778,1.4732,F,1.651,5
96,1.778,1.4732,F,1.6002,5
97,1.7526,1.7399,M,1.905,10
97,1.7526,1.7399,M,1.8034,10
97,1.7526,1.7399,M,1.778,10
97,1.7526,1.7399,F,1.6764,10
97,1.7526,1.7399,F,1.6764,10
97,1.7526,1.7399,F,1.6637,10
97,1.7526,1.7399,F,1.651,10
97,1.7526,1.7399,F,1.651,10
97,1.7526,1.7399,F,1.6256,10
97,1.7526,1.7399,F,1.6256,10
98,1.7526,1.7018,F,1.6256,1
99,1.7526,1.6764,M,1.8542,8
99,1.7526,1.6764,M,1.8288,8
99,1.7526,1.6764,M,1.82118,8
99,1.7526,1.6764,M,1.8161,8
99,1.7526,1.6764,F,1.6637,8
99,1.7526,1.6764,F,1.651,8
99,1.7526,1.6764,F,1.59258,8
99,1.7526,1.6764,F,1.5875,8
100,1.7526,1.6764,M,1.80848,3
100,1.7526,1.6764,M,1.8034,3
100,1.7526,1.6764,M,1.778,3
101,1.7526,1.69418,M,1.905,6
101,1.7526,1.69418,M,1.8796,6
101,1.7526,1.69418,M,1.8288,6
101,1.7526,1.69418,M,1.7399,6
101,1.7526,1.69418,M,1.7018,6
101,1.7526,1.69418,M,1.6764,6
102,1.7526,1.6764,M,1.778,6
102,1.7526,1.6764,M,1.7399,6
102,1.7526,1.6764,M,1.7272,6
102,1.7526,1.6764,F,1.651,6
102,1.7526,1.6764,F,1.6002,6
102,1.7526,1.6764,F,1.5875,6
103,1.7526,1.6891,M,1.8542,5
103,1.7526,1.6891,M,1.8034,5
103,1.7526,1.6891,M,1.7907,5
103,1.7526,1.6891,M,1.7907,5
103,1.7526,1.6891,F,1.5494,5
104,1.7653,1.6891,M,1.7907,4
104,1.7653,1.6891,M,1.7145,4
104,1.7653,1.6891,F,1.6383,4
104,1.7653,1.6891,F,1.6256,4
105,1.7526,1.6891,M,1.8034,6
105,1.7526,1.6891,F,1.7399,6
105,1.7526,1.6891,F,1.7145,6
105,1.7526,1.6891,F,1.6764,6
105,1.7526,1.6891,F,1.6002,6
105,1.7526,1.6891,F,1.6002,6
106,1.7653,1.6764,M,1.8034,7
106,1.7653,1.6764,M,1.8034,7
106,1.7653,1.6764,M,1.7907,7
106,1.7653,1.6764,M,1.7907,7
106,1.7653,1.6764,F,1.6891,7
106,1.7653,1.6764,F,1.6637,7
106,1.7653,1.6764,F,1.6383,7
107,1.7526,1.6764,M,1.8542,9
107,1.7526,1.6764,M,1.8288,9
107,1.7526,1.6764,M,1.7526,9
107,1.7526,1.6764,M,1.7526,9
107,1.7526,1.6764,F,1.6891,9
107,1.7526,1.6764,F,1.6637,9
107,1.7526,1.6764,F,1.6637,9
107,1.7526,1.6764,F,1.651,9
107,1.7526,1.6764,F,1.6256,9
108,1.7526,1.651,M,1.778,7
108,1.7526,1.651,M,1.7399,7
108,1.7526,1.651,M,1.7018,7
108,1.7526,1.651,F,1.651,7
108,1.7526,1.651,F,1.6256,7
108,1.7526,1.651,F,1.6129,7
108,1.7526,1.651,F,1.5494,7
109,1.7653,1.6383,M,1.77038,7
109,1.7653,1.6383,M,1.7272,7
109,1.7653,1.6383,M,1.524,7
109,1.7653,1.6383,F,1.65608,7
109,1.7653,1.6383,F,1.6383,7
109,1.7653,1.6383,F,1.61798,7
109,1.7653,1.6383,F,1.524,7
110,1.75768,1.6256,M,1.82118,4
110,1.75768,1.6256,M,1.6891,4
110,1.75768,1.6256,F,1.651,4
110,1.75768,1.6256,F,1.6129,4
112,1.7526,1.6002,M,1.7526,3
112,1.7526,1.6002,F,1.7145,3
112,1.7526,1.6002,F,1.6129,3
113,1.7526,1.6002,M,1.8288,1
114,1.7526,1.6002,M,1.8542,6
114,1.7526,1.6002,M,1.778,6
114,1.7526,1.6002,M,1.778,6
114,1.7526,1.6002,M,1.6256,6
114,1.7526,1.6002,F,1.6764,6
114,1.7526,1.6002,F,1.5748,6
115,1.7526,1.6129,M,1.7907,7
115,1.7526,1.6129,M,1.7018,7
115,1.7526,1.6129,M,1.6764,7
115,1.7526,1.6129,F,1.651,7
115,1.7526,1.6129,F,1.6002,7
115,1.7526,1.6129,F,1.5748,7
115,1.7526,1.6129,F,1.5494,7
116,1.7526,1.6129,M,1.7907,3
116,1.7526,1.6129,F,1.61798,3
116,1.7526,1.6129,F,1.6002,3
117,1.77038,1.5748,F,1.5875,1
118,1.7653,1.5748,M,1.8542,3
118,1.7653,1.5748,M,1.8288,3
118,1.7653,1.5748,M,1.7526,3
119,1.7526,1.5748,M,1.8542,5
119,1.7526,1.5748,M,1.8034,5
119,1.7526,1.5748,M,1.8034,5
119,1.7526,1.5748,M,1.7526,5
119,1.7526,1.5748,F,1.6002,5
121,1.7526,1.5875,M,1.8034,8
121,1.7526,1.5875,M,1.778,8
121,1.7526,1.5875,M,1.778,8
121,1.7526,1.5875,M,1.7526,8
121,1.7526,1.5875,F,1.6129,8
121,1.7526,1.5875,F,1.5875,8
121,1.7526,1.5875,F,1.5875,8
121,1.7526,1.5875,F,1.5748,8
122,1.7526,1.5748,M,1.8288,4
122,1.7526,1.5748,M,1.7272,4
122,1.7526,1.5748,F,1.6764,4
122,1.7526,1.5748,F,1.6764,4
123,1.7653,1.5494,M,1.778,5
123,1.7653,1.5494,M,1.7653,5
123,1.7653,1.5494,M,1.7526,5
123,1.7653,1.5494,F,1.6002,5
123,1.7653,1.5494,F,1.5748,5
124,1.7526,1.5494,M,1.7272,9
124,1.7526,1.5494,M,1.7272,9
124,1.7526,1.5494,M,1.7145,9
124,1.7526,1.5494,M,1.6256,9
124,1.7526,1.5494,M,1.6002,9
124,1.7526,1.5494,M,1.6002,9
124,1.7526,1.5494,F,1.6129,9
124,1.7526,1.5494,F,1.5748,9
124,1.7526,1.5494,F,1.5748,9
125,1.7526,1.524,M,1.7907,3
125,1.7526,1.524,F,1.7272,3
125,1.7526,1.524,F,1.5875,3
126,1.7526,1.524,M,1.7526,4
126,1.7526,1.524,M,1.6764,4
126,1.7526,1.524,F,1.56718,4
126,1.7526,1.524,F,1.5367,4
127,1.7526,1.5367,M,1.7653,1
128,1.74498,1.7907,M,1.8034,2
128,1.74498,1.7907,F,1.56718,2
129,1.7399,1.7018,M,1.8542,3
129,1.7399,1.7018,M,1.8034,3
129,1.7399,1.7018,F,1.7018,3
130,1.7399,1.6891,M,1.778,11
130,1.7399,1.6891,M,1.7526,11
130,1.7399,1.6891,M,1.7526,11
130,1.7399,1.6891,M,1.74498,11
130,1.7399,1.6891,M,1.7399,11
130,1.7399,1.6891,M,1.7399,11
130,1.7399,1.6891,M,1.7272,11
130,1.7399,1.6891,M,1.7272,11
130,1.7399,1.6891,M,1.7272,11
130,1.7399,1.6891,F,1.60528,11
131,1.7272,1.651,M,1.7145,2
131,1.7272,1.651,M,1.6764,2
132,1.7272,1.6637,M,1.6764,2
132,1.7272,1.6637,F,1.6256,2
133,1.7272,1.6637,M,1.82118,7
133,1.7272,1.6637,M,1.8161,7
133,1.7272,1.6637,M,1.79578,7
133,1.7272,1.6637,M,1.6637,7
133,1.7272,1.6637,F,1.6891,7
133,1.7272,1.6637,F,1.65608,7
133,1.7272,1.6637,F,1.5621,7
134,1.7272,1.651,M,1.8288,4
134,1.7272,1.651,M,1.8288,4
134,1.7272,1.651,F,1.7272,4
134,1.7272,1.651,F,1.6764,4
135,1.7399,1.651,M,1.75768,8
135,1.7399,1.651,M,1.7272,8
135,1.7399,1.651,M,1.6764,8
135,1.7399,1.651,M,1.6764,8
135,1.7399,1.651,F,1.5748,8
135,1.7399,1.651,F,1.5621,8
135,1.7399,1.651,F,1.5494,8
135,1.7399,1.651,F,1.524,8
136,1.7272,1.6256,M,1.8034,10
136,1.7272,1.6256,M,1.7272,10
136,1.7272,1.6256,M,1.7272,10
136,1.7272,1.6256,M,1.7018,10
136,1.7272,1.6256,F,1.651,10
136,1.7272,1.6256,F,1.6256,10
136,1.7272,1.6256,F,1.6002,10
136,1.7272,1.6256,F,1.6002,10
136,1.7272,1.6256,F,1.5748,10
136,1.7272,1.6256,F,1.5494,10
137,1.7272,1.6256,M,1.6764,4
137,1.7272,1.6256,M,1.6002,4
137,1.7272,1.6256,F,1.6637,4
137,1.7272,1.6256,F,1.5748,4
138,1.7272,1.6256,M,1.80848,5
138,1.7272,1.6256,M,1.80848,5
138,1.7272,1.6256,M,1.7526,5
138,1.7272,1.6256,M,1.7399,5
138,1.7272,1.6256,F,1.5875,5
139,1.7272,1.6383,F,1.5748,1
140,1.7272,1.6256,M,1.7526,10
140,1.7272,1.6256,M,1.7018,10
140,1.7272,1.6256,M,1.6764,10
140,1.7272,1.6256,F,1.6764,10
140,1.7272,1.6256,F,1.6764,10
140,1.7272,1.6256,F,1.651,10
140,1.7272,1.6256,F,1.651,10
140,1.7272,1.6256,F,1.651,10
140,1.7272,1.6256,F,1.6256,10
140,1.7272,1.6256,F,1.6002,10
141,1.7272,1.6002,M,1.7907,8
141,1.7272,1.6002,M,1.778,8
141,1.7272,1.6002,M,1.7272,8
141,1.7272,1.6002,M,1.6764,8
141,1.7272,1.6002,M,1.6764,8
141,1.7272,1.6002,F,1.6764,8
141,1.7272,1.6002,F,1.5748,8
141,1.7272,1.6002,F,1.5621,8
142,1.7399,1.6129,M,1.8669,4
142,1.7399,1.6129,M,1.778,4
142,1.7399,1.6129,M,1.7653,4
142,1.7399,1.6129,F,1.6637,4
143,1.7272,1.6002,M,1.7018,1
144,1.7272,1.6002,M,1.778,4
144,1.7272,1.6002,M,1.7272,4
144,1.7272,1.6002,F,1.6383,4
144,1.7272,1.6002,F,1.6256,4
145,1.7272,1.6002,M,1.8034,8
145,1.7272,1.6002,M,1.7272,8
145,1.7272,1.6002,M,1.6764,8
145,1.7272,1.6002,M,1.6637,8
145,1.7272,1.6002,M,1.651,8
145,1.7272,1.6002,F,1.6002,8
145,1.7272,1.6002,F,1.5748,8
145,1.7272,1.6002,F,1.5748,8
146,1.7272,1.6002,M,1.7018,6
146,1.7272,1.6002,M,1.7018,6
146,1.7272,1.6002,M,1.6764,6
146,1.7272,1.6002,F,1.6256,6
146,1.7272,1.6002,F,1.6129,6
146,1.7272,1.6002,F,1.5494,6
147,1.7399,1.6129,M,1.73228,1
148,1.7272,1.6002,M,1.778,1
149,1.73228,1.6129,M,1.778,5
149,1.73228,1.6129,M,1.7526,5
149,1.73228,1.6129,M,1.7018,5
149,1.73228,1.6129,M,1.6637,5
149,1.73228,1.6129,F,1.6383,5
150,1.7272,1.5875,M,1.7399,1
151,1.74498,1.5748,M,1.71958,2
151,1.74498,1.5748,F,1.56718,2
152,1.7272,1.5875,M,1.6891,1
153,1.7272,1.5494,M,1.7399,5
153,1.7272,1.5494,M,1.7272,5
153,1.7272,1.5494,M,1.6256,5
153,1.7272,1.5494,F,1.6129,5
153,1.7272,1.5494,F,1.6002,5
154,1.7272,1.52908,M,1.69418,1
155,1.7272,1.524,M,1.6256,7
155,1.7272,1.524,F,1.5494,7
155,1.7272,1.524,F,1.5494,7
155,1.7272,1.524,F,1.524,7
155,1.7272,1.524,F,1.524,7
155,1.7272,1.524,F,1.524,7
155,1.7272,1.524,F,1.4224,7
156,1.7272,1.524,M,1.7145,4
156,1.7272,1.524,M,1.7018,4
156,1.7272,1.524,M,1.6891,4
156,1.7272,1.524,F,1.524,4
157,1.7399,1.4986,M,1.7526,1
158,1.7272,1.4986,M,1.7272,10
158,1.7272,1.4986,M,1.651,10
158,1.7272,1.4986,M,1.64338,10
